#   indx         mu         mg         mr         mi         mz          Mr
#
      47 1.983090e+01 1.830627e+01 1.745256e+01 1.695184e+01 1.664267e+01 -2.005468e+01
      67 1.857621e+01 1.750141e+01 1.707465e+01 1.679212e+01 1.696827e+01 -2.032404e+01
      98 1.863952e+01 1.742605e+01 1.662183e+01 1.617899e+01 1.599635e+01 -2.110273e+01
     101 1.931440e+01 1.787417e+01 1.729344e+01 1.699619e+01 1.672972e+01 -2.014923e+01
     102 1.883488e+01 1.730035e+01 1.672138e+01 1.640621e+01 1.624284e+01 -2.058168e+01
     149 1.984540e+01 1.822763e+01 1.747140e+01 1.711136e+01 1.687163e+01 -2.025944e+01
     150 1.922965e+01 1.762805e+01 1.675360e+01 1.631499e+01 1.600156e+01 -2.080574e+01
     155 1.903210e+01 1.798330e+01 1.721809e+01 1.709611e+01 1.687633e+01 -2.051905e+01
     156 1.863386e+01 1.725823e+01 1.647745e+01 1.606231e+01 1.576849e+01 -2.126290e+01
     229 1.824743e+01 1.675549e+01 1.587760e+01 1.544177e+01 1.508851e+01 -2.153886e+01
     231 1.882054e+01 1.783585e+01 1.752856e+01 1.727009e+01 1.727296e+01 -1.989538e+01
     239 1.959999e+01 1.834224e+01 1.749714e+01 1.709440e+01 1.676432e+01 -2.005288e+01
     240 1.979635e+01 1.829279e+01 1.751782e+01 1.715755e+01 1.688967e+01 -2.013299e+01
     292 1.935123e+01 1.813630e+01 1.741328e+01 1.703973e+01 1.675139e+01 -2.023170e+01
     307 1.893355e+01 1.765249e+01 1.693476e+01 1.651465e+01 1.616778e+01 -2.073614e+01
     541 1.917676e+01 1.743173e+01 1.652453e+01 1.613869e+01 1.583861e+01 -2.119878e+01
     549 1.909712e+01 1.778242e+01 1.731112e+01 1.692791e+01 1.674356e+01 -2.011196e+01
     819 1.933968e+01 1.799160e+01 1.739783e+01 1.702900e+01 1.682055e+01 -2.002956e+01
     828 2.000279e+01 1.822917e+01 1.732240e+01 1.688410e+01 1.656393e+01 -2.013504e+01
     831 1.849879e+01 1.755118e+01 1.697446e+01 1.663676e+01 1.640659e+01 -2.077908e+01
     880 1.986583e+01 1.785203e+01 1.688520e+01 1.642775e+01 1.607646e+01 -2.051648e+01
     905 2.030620e+01 1.843555e+01 1.754970e+01 1.715310e+01 1.680872e+01 -1.991151e+01
     990 1.856537e+01 1.705742e+01 1.620502e+01 1.586683e+01 1.555322e+01 -2.127405e+01
    1027 1.926933e+01 1.782274e+01 1.688083e+01 1.649192e+01 1.620022e+01 -2.086879e+01
    1029 1.978620e+01 1.809054e+01 1.715755e+01 1.673688e+01 1.642717e+01 -2.059665e+01
    1109 2.020455e+01 1.828273e+01 1.734658e+01 1.690741e+01 1.657919e+01 -2.038761e+01
    1136 1.906679e+01 1.770351e+01 1.714308e+01 1.681831e+01 1.670327e+01 -2.024033e+01
    1238 1.905447e+01 1.791492e+01 1.758456e+01 1.726316e+01 1.719478e+01 -1.974707e+01
    1245 2.027542e+01 1.822806e+01 1.741868e+01 1.702973e+01 1.675976e+01 -2.023736e+01
    1254 1.947824e+01 1.787254e+01 1.729219e+01 1.692839e+01 1.679608e+01 -2.009536e+01
    1289 1.920081e+01 1.804320e+01 1.741335e+01 1.702346e+01 1.676664e+01 -2.019409e+01
    1300 1.961706e+01 1.796247e+01 1.715137e+01 1.676278e+01 1.652669e+01 -2.034944e+01
    1314 1.878729e+01 1.724694e+01 1.662543e+01 1.625111e+01 1.612221e+01 -2.072433e+01
    1323 1.921534e+01 1.714379e+01 1.621298e+01 1.583410e+01 1.565349e+01 -2.112386e+01
    1325 2.029728e+01 1.843390e+01 1.748479e+01 1.706672e+01 1.670149e+01 -1.984459e+01
    1328 2.043927e+01 1.827988e+01 1.730825e+01 1.687423e+01 1.653823e+01 -2.001445e+01
    1331 1.893169e+01 1.751054e+01 1.669111e+01 1.630428e+01 1.549329e+01 -2.065258e+01
    1333 1.811160e+01 1.677403e+01 1.617410e+01 1.585572e+01 1.559204e+01 -2.115580e+01
    1342 1.900305e+01 1.741936e+01 1.663479e+01 1.622488e+01 1.587743e+01 -2.067051e+01
    1347 1.873463e+01 1.663383e+01 1.574399e+01 1.535701e+01 1.507057e+01 -2.156016e+01
    1350 1.886302e+01 1.712980e+01 1.628341e+01 1.588768e+01 1.564997e+01 -2.109924e+01
    1356 1.908302e+01 1.722641e+01 1.636022e+01 1.591203e+01 1.563204e+01 -2.094956e+01
    1361 1.987847e+01 1.777235e+01 1.685044e+01 1.640784e+01 1.604799e+01 -2.047151e+01
    1369 1.994247e+01 1.819069e+01 1.729659e+01 1.685988e+01 1.650833e+01 -2.041086e+01
    1378 1.920783e+01 1.813364e+01 1.745883e+01 1.713099e+01 1.690756e+01 -2.018726e+01
    1395 1.841916e+01 1.747082e+01 1.715339e+01 1.684943e+01 1.679762e+01 -2.025266e+01
    1398 1.827519e+01 1.734622e+01 1.706672e+01 1.686748e+01 1.674000e+01 -2.033331e+01
    1415 1.944872e+01 1.805943e+01 1.744360e+01 1.703409e+01 1.676099e+01 -1.999138e+01
    1419 1.896702e+01 1.767648e+01 1.689136e+01 1.640202e+01 1.603329e+01 -2.046942e+01
    1426 1.956610e+01 1.803502e+01 1.744121e+01 1.706850e+01 1.692257e+01 -1.999190e+01
    1437 1.884842e+01 1.770539e+01 1.727455e+01 1.691719e+01 1.682025e+01 -2.008179e+01
    1465 2.000428e+01 1.773619e+01 1.657530e+01 1.633268e+01 1.651513e+01 -2.092202e+01
    1622 1.985587e+01 1.800447e+01 1.708216e+01 1.674991e+01 1.635861e+01 -2.062047e+01
    1628 1.880846e+01 1.767640e+01 1.720928e+01 1.690132e+01 1.671077e+01 -2.025637e+01
    1631 2.025592e+01 1.840624e+01 1.749144e+01 1.705614e+01 1.672109e+01 -1.982785e+01
    1693 1.992112e+01 1.830852e+01 1.745558e+01 1.702695e+01 1.665277e+01 -2.023416e+01
    1694 1.933995e+01 1.806853e+01 1.717727e+01 1.674192e+01 1.638319e+01 -2.051927e+01
    1737 2.062137e+01 1.761195e+01 1.723981e+01 1.667745e+01 1.652102e+01 -2.008370e+01
    1743 1.838235e+01 1.750346e+01 1.717030e+01 1.679540e+01 1.687409e+01 -2.028612e+01
    1746 1.875290e+01 1.791593e+01 1.749702e+01 1.721396e+01 1.695877e+01 -1.996812e+01
    1749 1.917250e+01 1.847147e+01 1.748924e+01 1.702548e+01 1.654579e+01 -1.997812e+01
    1754 1.915306e+01 1.746390e+01 1.656853e+01 1.614357e+01 1.584818e+01 -2.102445e+01
