#     Name                      Type    M_J 	i-z 	z 	z-J 	Z - J 	J 	J - K 	J-H 	H -  K 	K      K - L´ 	L´ - M´
      SDSS J102751.48+400931.7 	M               2.16    19.98   2.88            17.10   1.23    0.61    0.62 	15.87 	  	 
      SDSS J114220.63+114440.3 	M 	  	2.22 	20.24 	2.35 	        17.89   1.05 	0.49 	0.56 	16.84 	  	 
      SDSS J083120.81+304417.1 	M-L2 	  	1.77 	19.68 	2.23 	        17.45   1.10 	0.56 	0.54 	16.46 	  	 
      SDSS J140814.74+053952.9 	M-L2 	  	1.77 	18.71 	2.22 	        16.49   1.00 	0.54 	0.46 	15.49 	  	 
      SDSS J162441.00+444145.8 	M-L3 	  	  	20.07 	2.51 	        17.56   1.10 	0.68 	0.42 	16.46 	  	 
      SDSS J134403.84+083950.9 	early L        >2.52 	19.98 	2.76 	        17.22 	1.24 	0.77 	0.47 	15.98 	  	 
      SDSS J162429.36+125144.0 	early L 	1.82 	18.97 	2.53 	        16.44 	1.26 	0.72 	0.54 	15.18 	  	 
      SDSS J163607.48+233601.6 	early L 	2.25 	19.57 	2.71 	        16.86 	1.25 	0.65 	0.60 	15.61 	  	 
      SDSS J170005.43+154128.8 	early L 	2.39 	19.14 	2.93 	        16.21 	1.09 	0.56 	0.53 	15.12 	  	 
      SDSS J171902.15+373453.6 	early L 	1.59 	20.28 	2.63 	        17.65 	1.15 	0.57 	0.58 	16.50 	  	 
      2MASS J03454316+2540233 	L1± 1   11.69 	  	  	  	  	13.84 	1.18 	0.63 	0.54 	12.66 	0.65 	 
      2MASS J07464256+2000321AB L1      11.21 	1.80 	14.30 	2.66 	1.47 	11.64 	1.21 	0.63 	0.58 	10.43   0.76 	-0.35
      2MASS J14392836+1929149 	L1      11.87 	  	  	  	  	12.66 	1.19 	0.61 	0.58 	11.47 	0.67 	-0.33
      SDSS J144016.20+002638.9 	L1              1.90 	18.75 	2.82 	  	15.93 	1.29 	0.70 	0.59 	14.64 	  	 
      SDSS J121001.96+030739.2 	L1.5± 1                 19.79 	2.52 	  	17.27 	1.24 	0.69 	0.55 	16.03 	  	 
      SDSS J035448.73-002742.1 	L2± 1           2.02 	19.61 	2.47 	  	17.14 	1.19 	0.68 	0.51 	15.95 	  	 
      SDSS J100401.41+005354.9 	L2              2.05 	19.76 	2.36 	  	17.40 	1.16 	0.58 	0.58 	16.24 	  	 
      SDSS J143535.70-004347.0 	L2.5    12.44 	1.84 	19.02 	2.61 	  	16.41 	1.29 	0.73 	0.56 	15.12 	  	 
      2MASS J00283943+1501418 	L3              2.19 	19.52 	3.03 	2.01 	16.49 	1.95 	1.01 	0.94 	14.54 	  	 
      DENIS-P J1058.7-1548 	L3      12.93 	  	  	  	1.64 	14.12 	1.57 	0.84 	0.74 	12.55 	0.93 	 
      GD 165B 	                L3± 2   13.14 	  	  	  	  	15.64 	1.55 	0.89 	0.66 	14.09 	1.16 	 
      Kelu-1 	                L3± 1   11.88 	  	  	  	1.77 	13.23 	1.45 	0.78 	0.67 	11.78 	1.00 	-0.44
      SDSS J020735.60+135556.3 	L3± 1.5         1.78    18.06   2.79 	  	15.27 	1.46 	0.82 	0.64 	13.81
      SDSS J111320.16+343057.9 	L3              2.23 	19.76 	2.84 	  	16.92 	1.66 	0.92 	0.74 	15.26 	  	 
      SDSS J144128.52+504600.4 	L3              1.96    19.87   3.01 	  	16.86 	1.68 	0.88 	0.80 	15.18 	  	 
      2MASS J22244381-0158521 	L3.5    13.59 	  	  	  	  	13.89 	1.91 	1.05 	0.86 	11.98 	1.08 	-0.42
      SDSS J075515.26+293445.4 	L3.5± 1         2.33 	19.40 	2.69 	  	16.71 	1.39 	0.77 	0.62 	15.32 	  	 
      SDSS J075656.54+231458.5 	L3.5± 1        >2.68 	19.82 	3.02 	  	16.80 	1.80 	0.98 	0.82 	15.00 	  	 
      SDSS J121659.17+300306.3 	L3.5± 1         2.70 	19.71 	2.82 	  	16.89 	1.33 	0.70 	0.63 	15.56 	  	 
      SDSS J131415.52-000848.1 	L3.5± 1.5       2.00 	19.63 	3.11 	  	16.52 	1.22 	0.68 	0.55 	15.30 	  	 
      SDSS J134525.57+521634.0 	L3.5            2.18 	19.84 	2.79 	  	17.05 	1.51 	0.75 	0.76 	15.54 	  	 
      SDSS J171147.17+233130.5 	L3.5± 1.5       1.95 	19.95 	3.11 	  	16.84 	1.59 	0.84 	0.75 	15.25 	  	 
      SDSS J232804.58-103845.7 	L3.5            1.68 	19.76 	2.99 	  	16.77 	1.57 	0.78 	0.79 	15.20 	  	 
      2MASS J00361617+1821104 	L4± 1   12.61 	  	  	  	1.81 	12.30 	1.26 	0.66 	0.60 	11.04 	0.96 	-0.27
      SDSS J000112.18+153535.5 	L4± 1           1.74 	18.55 	3.26 	  	15.29 	1.77 	0.89 	0.88 	13.52 	  	 
      SDSS J024256.98+212319.6 	L4              2.22 	20.02 	2.97 	  	17.05 	1.62 	0.86 	0.76 	15.43 	  	 
      SDSS J040100.96-060933.0 	L4± 1.5                 20.19 	2.81 	  	17.38 	1.67 	0.99 	0.68 	15.71 	  	 
      SDSS J153453.33+121949.2 	L4± 1.5         2.30 	18.18 	2.91 	  	15.27 	1.58 	0.85 	0.73 	13.69 	  	 
      SDSS J161731.65+401859.7 	L4              2.28 	19.81 	2.98 	  	16.83 	1.99 	1.14 	0.85 	14.84 	  	 
      LHS102B 	                L4.5    13.16 	  	  	  	1.61 	13.06 	1.70 	0.92 	0.78 	11.36 	0.95 	 
      SDSS J083506.16+195304.4 	L4.5            2.26 	18.84 	2.90 	  	15.94 	1.53 	0.82 	0.71 	14.41 	  	 
      SDSS J085116.20+181730.0 	L4.5 ± 1.5      2.24 	19.68 	3.00 	  	16.68 	1.71 	0.88 	0.83 	14.97 	  	 
      SDSS J143211.74-005900.8 	L4.5                    19.62 	2.63 	  	16.99 	1.54 	0.85 	0.69 	15.45 	  	 
      SDSS J213240.36+102949.4 	L4.5 ± 1        2.24 	19.25 	2.87 	  	16.38 	1.62 	0.86 	0.76 	14.76 	  	 
      SDSS J123330.63+423948.8 	mid-L 	       >2.58 	19.92 	2.68 	  	17.24   1.59 	0.91 	0.68 	15.65 	  	 
      SDSS J053951.99-005902.0 	L5      13.26 	2.24 	16.78 	2.93 	1.75 	13.85 	1.45 	0.81 	0.64 	12.40   1.08 	-0.55
      SDSS J125737.26-011336.1 	L5      13.86 	2.14 	18.56 	2.92 	  	15.64 	1.58 	0.96 	0.62 	14.06 	  	 
      SDSS J144600.60+002452.0 	L5      13.85 	2.30 	18.48 	2.92 	  	15.56 	1.76 	0.97 	0.79 	13.80 	  	 
      SDSS J154849.02+172235.4 	L5              2.50 	18.82 	2.73 	  	16.09 	1.60 	0.85 	0.75 	14.49 	  	 
      SDSS J161626.46+221859.2 	L5± 2                   20.33 	2.80 	  	17.53 	1.88 	1.03 	0.85 	15.65 	  	 
      SDSS J164916.89+464340.0 	L5              2.66 	19.73 	2.64 	  	17.09 	1.35 	0.76 	0.59 	15.74 	  	 
      SDSS J213352.72+101841.0 	L5± 1           2.20 	19.76 	2.84 	  	16.92 	1.31 	0.73 	0.58 	15.61 	  	 
      SDSS J224953.45+004404.2 	L5± 1.5         2.16 	19.42 	2.95 	1.77 	16.47 	2.05 	1.11 	0.94 	14.42 	  	 
      2MASS J15074769-1627386 	L5.5    13.37 	  	  	  	  	12.70 	1.41 	0.80 	0.61 	11.29 	1.31 	-0.71
      DENIS-PJ0205.4-1159AB 	L5.5± 2 12.95 	  	  	  	1.58 	14.43 	1.44 	0.82 	0.62 	12.99 	1.55 	-0.66
      SDSS J000250.98+245413.8 	L5.5            2.21 	19.99 	2.97 	  	17.08 	1.60 	0.93 	0.67 	15.48 	  	 
      SDSS J001608.44-004302.3 	L5.5            1.77 	19.34 	3.00 	  	16.34 	1.82 	1.00 	0.82 	14.52 	  	 
      SDSS J003609.26+241343.3 	L5.5           >2.43 	20.07 	2.99 	  	17.08 	1.60 	0.80 	0.80 	15.48 	  	 
      SDSS J010752.33+004156.1 	L5.5    14.78 	2.83 	18.70 	2.95 	1.58 	15.75 	2.17 	1.19 	0.98 	13.58   1.52 	 
      SDSS J020608.97+223559.2 	L5.5            3.17 	19.25 	2.91 	  	16.40 	1.30 	0.75 	0.56 	15.03 	  	 
      SDSS J132629.82-003831.5 	L5.5    14.70 	2.63 	19.05 	2.84 	  	16.21 	2.04 	1.11 	0.93 	14.17 	  	 
      SDSS J134203.11+134022.2 	L5.5            2.45 	19.86 	2.96 	  	16.90 	1.77 	0.95 	0.82 	15.13 	  	 
      SDSS J141659.78+500626.4 	L5.5± 2         2.48 	19.70 	2.91 	  	16.76 	1.44 	0.76 	0.68 	15.35 	  	 
      2MASS J08251968+2115521 	L6      14.76 	  	  	  	1.73 	14.89 	1.96 	1.08 	0.88 	12.93 	1.40 	 
      2MASS J08503593+1057156AB L6 	13.85 	                1.95    1.95    16.20 	1.85 	0.99 	0.86 	14.35 	1.41 	 
      DENIS-P J1228.2-1547AB 	L6± 2   12.75 	  	  	  	1.73 	14.28 	1.57 	0.88 	0.69 	12.71 	1.29 	 
      SDSS J012743.50+135420.9 	L6± 1           2.65 	19.62 	2.91 	  	16.71 	1.62 	0.87 	0.75 	15.09 	  	 
      SDSS J065405.63+652805.4 	L6± 1           2.08 	18.89 	2.81 	  	16.08 	1.49 	0.73 	0.76 	14.59 	  	 
      SDSS J074007.30+200921.9 	L6± 1.5                 19.78 	3.11 	  	16.67 	1.56 	0.85 	0.71 	15.11 	  	 
      SDSS J080959.01+443422.2 	L6              2.54 	19.28 	2.91 	  	16.37 	2.06 	1.12 	0.94 	14.31 	  	 
      SDSS J103321.92+400549.5 	L6              2.40 	19.54 	2.80 	  	16.74 	1.14 	0.69 	0.45 	15.60 	  	 
      SDSS J104625.76+042441.0 	L6              2.64 	19.74 	2.77 	  	16.97 	1.62 	0.94 	0.68 	15.35 	  	 
      SDSS J112615.25+012048.2 	L6                      19.79 	3.11 	  	16.68 	1.64 	0.87 	0.77 	15.04 	  	 
      SDSS J162051.17+323732.1 	L6             >2.49 	20.01 	2.84 	  	17.17 	1.77 	0.94 	0.83 	15.40 	  	 
      SDSS J162255.27+115924.1 	L6± 1.5         2.50 	19.43 	2.54 	  	16.89 	1.43 	0.74 	0.69 	15.46 	  	 
      SDSS J163359.23-064056.5 	L6              2.55 	18.76 	2.76 	  	16.00 	1.46 	0.75 	0.71 	14.54 	  	 
      SDSS J173101.41+531047.9 	L6± 1.5         2.21 	19.34 	3.02 	  	16.32 	1.54 	0.82 	0.72 	14.78 	  	 
      2MASS J08014056+4628498 	L6.5 	  	2.50 	18.78 	2.57 	  	16.21 1.63 	0.90 	0.73 	14.58 	  	 
      2MASS J21011544+1756586 	L6.5± 1         2.76 	19.68 	2.87 	  	16.81 	1.81 	0.92 	0.89 	15.00 	  	 
      SDSS J023617.93+004855.0 	L6.5            2.87 	18.80 	2.79 	1.53 	16.01 	1.47 	0.85 	0.62 	14.54 	  	 
      SDSS J142227.25+221557.1 	L6.5± 2         2.45 	19.71 	2.84 	  	16.87 	1.23 	0.75 	0.48 	15.64 	  	 
      SDSS J152531.32+581053.1 	L6.5± 1                 19.75 	2.85 	  	16.90 	1.47 	0.77 	0.70 	15.43 	  	 
      2MASS J00303013-1450333 	L7 	14.26 	  	  	  	1.74 	16.39 	1.90    1.02 	0.88 	14.49 	  	 
      SDSS J104335.08+121314.1 	L7± 1           3.13 	18.86 	3.04 	  	15.82 	1.62 	0.95 	0.67 	14.20 	  	 
      SDSS J104409.43+042937.6 	L7              2.94 	18.73 	2.89 	  	15.84 	1.52 	0.87 	0.65 	14.32 	  	 
      SDSS J140023.12+433822.3 	L7± 1          >3.42 	19.08 	2.92 	  	16.16 	1.69 	0.98 	0.71 	14.47 	  	 
      SDSS J163030.53+434404.0 	L7± 1.5         2.65 	19.45 	2.97 	  	16.48 	1.78 	0.97 	0.81 	14.70 	  	 
      2MASS J09293364+3429527 	L7.5                    19.52 	2.83 	1.69 	16.69 	1.96 	1.07 	0.89 	14.73 	  	 
      2MASS J16322911+1904407 	L7.5    14.83 	3.20 	18.58 	2.81 	1.75 	15.77 	1.80 	1.09 	0.71 	13.97   1.43 	 
      2MASS J22443167+2043433 	L7.5± 2                                         16.33 	2.43 	1.27 	1.16 	13.90 	1.79 	 
      SDSS J093109.56+032732.5 	L7.5± 1.5       2.72 	19.28 	2.68 	1.80 	16.60 	1.07 	0.51 	0.56 	15.53 	  	 
      SDSS J102552.43.56+321234.0 L7.5± 2.5    >2.81 	19.69 	2.80 	  	16.89 	1.73 	0.91 	0.82 	15.16 	  	 
      SDSS J112118.57+433246.5 	L7.5            2.38 	19.93 	2.89 	  	17.04 	0.91 	0.48 	0.43 	16.13 	  	 
      SDSS J115553.86+055957.5 	L7.5            2.81 	18.45 	2.82 	  	15.63 	1.54 	0.89 	0.65 	14.09 	  	 
      SDSS J151506.11+443648.3 	L7.5± 1.5       2.57 	19.50 	2.96 	  	16.54 	1.68 	0.91 	0.77 	14.86 	  	 
      SDSS J154508.93+355527.3 	L7.5            2.41 	19.87 	2.90 	  	16.97 	1.68 	0.93 	0.75 	15.29 	  	 
      2MASS J15232263+3014562 	L8      14.63 	  	  	  	1.65 	15.95 	1.60 	0.90 	0.70 	14.35 	1.49 	 
      SDSS J003259.36+141036.6 	L8      13.98 	  	19.40 	2.82 	1.67 	16.58 	1.59 	0.92 	0.67 	14.99 	1.64 	 
      SDSS J085758.45+570851.4 	L8± 1           2.98 	17.77 	2.97 	1.72 	14.80 	1.86 	1.00 	0.86 	12.94 	1.63    -0.19
      SDSS J100711.74+193056.2 	L8± 1.5        >2.74 	19.76 	3.01 	  	16.75 	1.60 	0.90 	0.70 	15.15 	  	 
      SDSS J121951.45+312849.4 	L8              3.12 	18.85 	3.00 	  	15.85 	1.55 	0.87 	0.68 	14.30 	  	 
      SDSS J133148.90-011651.4 	L8± 2.5         2.42 	18.14 	2.82 	1.72 	15.32 	1.25 	0.67 	0.58 	14.07 	  	 
      SDSS J135923.99+472843.2 	L8.5                    19.76 	2.81 	  	16.95 	1.61 	0.95 	0.66 	15.34 	  	 
      2MASS J03105986+1648155 	L9                                              15.88 	1.70 	0.97 	0.73 	14.18 	1.64 	 
      2MASS J09083803+5032088 	L9± 1           2.84 	17.22 	2.82 	  	14.40 	1.51 	0.86 	0.65 	12.89 	1.52 	-0.58
      SDSS J080531.80+481233.0 	L9± 1.5         2.20 	17.62 	3.01 	1.81 	14.61 	1.10 	0.60 	0.50 	13.51 	1.20 	 
      SDSS J083008.12+482847.4 	L9± 1   14.64 	3.14 	18.08 	2.86 	1.64 	15.22 	1.54 	0.82 	0.72 	13.68   1.70 	 
      SDSS J154009.36+374230.3 	L9± 1.5        >3.47 	19.03 	2.70 	  	16.33 	1.68 	0.91 	0.77 	14.65 	  	 
      SDSS J204317.69-155103.4 	L9             >2.78 	19.72 	2.85 	  	16.87 	1.46 	0.85 	0.61 	15.41 	  	 
      SDSS J213154.43-011939.3 	L9             >2.49 	20.01 	2.72 	  	17.29 	1.54 	0.84 	0.70 	15.75 	  	 
      2MASS J03284265+2302051 	L9.5    13.95 	  	  	  	1.71 	16.35 	1.48 	0.88 	0.60 	14.87 	1.54 	 
      SDSS J020333.26-010812.5 	L9.5                    20.36 	2.53 	  	17.83 	1.65 	0.96 	0.69 	16.18 	  	 
      SDSS J080531.80+481233.0 	L9.5± 1.5       2.20 	17.62 	3.01 	  	14.61 	1.10 	0.60 	0.50 	13.51 	1.20 	 
      SDSS J082030.12+103737.0 	L9.5± 2        >2.47 	20.03 	3.00 	  	17.03 	1.45 	0.94 	0.51 	15.58 	  	 
      SDSS J085234.90+472035.0 	L9.5± 1         3.09 	18.90 	2.77 	  	16.13 	1.51 	0.92 	0.59 	14.62 	  	 
      SDSS J103026.78+021306.4 	L9.5± 1                 19.94 	2.84 	  	17.10 	1.43 	0.83 	0.60 	15.67 	  	 
      SDSS J042348.57-041403.5AB T0     13.39 	2.89 	17.29 	2.99 	1.68 	14.30 	1.34 	0.79 	0.55 	12.96   1.51 	-0.45
      SDSS J110454.25+554841.4 	T0± 1.5                 19.94 	2.66 	  	17.28 	0.94 	0.55 	0.39 	16.34 	  	 
      SDSS J120747.17+024424.8 	T0              3.06 	18.41 	3.03 	  	15.38 	1.22 	0.75 	0.47 	14.16 	1.54 	 
      SDSS J151114.66+060742.9 	T0± 2           2.79 	19.09 	3.26 	  	15.83 	1.31 	0.67 	0.64 	14.52 	  	 
